Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aura-solid-teak-8-seater-dining-table,Aura Solid Teak 8 Seater Dining Table,<p>A stately 8-seater dining table sculpted from solid timber planks. Finished in natural non-toxic polyurethane to highlight the golden-brown grain patterns and natural wood knots.</p><p>Features heavy-duty mortise and tenon joinery built to endure generations of festive family dining.</p>,EKKAYI,Furniture,Dining Sanctuaries,"furniture, dining, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1008,45000,shopify,15,deny,manual,48900,69990,TRUE,TRUE,,https://images.unsplash.com/photo-1617806118233-18e1de247200?auto=format&fit=crop&w=1000&q=80,1,Aura Solid Teak 8 Seater Dining Table,FALSE,Aura Solid Teak 8 Seater Dining Table | EKKAYI Artisanal Furniture,A stately 8-seater dining table sculpted from solid timber planks. Finished in natural non-toxic polyurethane to highlight the golden-brown grain patterns and n,Furniture,,,EKKAYI-1008,,,new,,,,,,,,kg,,,active
aura-solid-teak-8-seater-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1530018607912-eff2daa1bac4?auto=format&fit=crop&w=1000&q=80,2,Aura Solid Teak 8 Seater Dining Table - View 2,,,,,,,,,,,,,,,,,,,,,
kyoto-handcrafted-cane-dining-chairs,Kyoto Cane & Teak Dining Chairs (Set of 6),<p>Set of 6 handcrafted dining chairs marrying French mid-century cane weaving with Indian teakwood framing. Breathable mesh backrests offer ergonomic support during long dining conversations.</p>,EKKAYI,Furniture,Dining Sanctuaries,"furniture, dining, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1009,45000,shopify,15,deny,manual,36000,48000,TRUE,TRUE,,https://images.unsplash.com/photo-1503602642458-232111445657?auto=format&fit=crop&w=1000&q=80,1,Kyoto Cane & Teak Dining Chairs (Set of 6),FALSE,Kyoto Cane & Teak Dining Chairs (Set of 6) | EKKAYI Artisanal Furniture,Set of 6 handcrafted dining chairs marrying French mid-century cane weaving with Indian teakwood framing. Breathable mesh backrests offer ergonomic support duri,Furniture,,,EKKAYI-1009,,,new,,,,,,,,kg,,,active
kyoto-handcrafted-cane-dining-chairs,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1617806118233-18e1de247200?auto=format&fit=crop&w=1000&q=80,2,Kyoto Cane & Teak Dining Chairs (Set of 6) - View 2,,,,,,,,,,,,,,,,,,,,,
ethan-6-seater-dining-set-bench,Ethan 6 Seater Solid Wood Dining Set with Bench,"<p>Complete 6-piece dining suite comprising 1 large solid Sheesham table, 4 cushioned dining chairs, and 1 spacious matching bench for flexible seating.</p>",EKKAYI,Furniture,Dining Sanctuaries,"furniture, dining, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1010,45000,shopify,15,deny,manual,52000,72000,TRUE,TRUE,,https://images.unsplash.com/photo-1530018607912-eff2daa1bac4?auto=format&fit=crop&w=1000&q=80,1,Ethan 6 Seater Solid Wood Dining Set with Bench,FALSE,Ethan 6 Seater Solid Wood Dining Set with Bench | EKKAYI Artisanal Furniture,"Complete 6-piece dining suite comprising 1 large solid Sheesham table, 4 cushioned dining chairs, and 1 spacious matching bench for flexible seating.",Furniture,,,EKKAYI-1010,,,new,,,,,,,,kg,,,active
ethan-6-seater-dining-set-bench,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1617806118233-18e1de247200?auto=format&fit=crop&w=1000&q=80,2,Ethan 6 Seater Solid Wood Dining Set with Bench - View 2,,,,,,,,,,,,,,,,,,,,,
jina-monolithic-travertine-dining-table,Jina Monolithic Travertine Dining Table,<p>Sculptural dining table crafted with double cylindrical fluted travertine pedestals supporting a bevel-edged matte-honed natural stone tabletop.</p>,EKKAYI,Furniture,Dining Sanctuaries,"furniture, dining, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1011,45000,shopify,15,deny,manual,88000,120000,TRUE,TRUE,,https://images.unsplash.com/photo-1600585152220-90363fe7e115?auto=format&fit=crop&w=1000&q=80,1,Jina Monolithic Travertine Dining Table,FALSE,Jina Monolithic Travertine Dining Table | EKKAYI Artisanal Furniture,Sculptural dining table crafted with double cylindrical fluted travertine pedestals supporting a bevel-edged matte-honed natural stone tabletop.,Furniture,,,EKKAYI-1011,,,new,,,,,,,,kg,,,active
jina-monolithic-travertine-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1617806118233-18e1de247200?auto=format&fit=crop&w=1000&q=80,2,Jina Monolithic Travertine Dining Table - View 2,,,,,,,,,,,,,,,,,,,,,
hugo-nested-round-coffee-table-set,Hugo Nested Solid Wood Coffee Tables (Set of 2),<p>Dual-tier nested circular center tables that slide together or separate for entertaining. Beveled natural oak top with scratch-resistant matte clear coat.</p>,EKKAYI,Furniture,Living Room Tables,"furniture, tables, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1012,45000,shopify,15,deny,manual,18900,26990,TRUE,TRUE,,https://images.unsplash.com/photo-1533090161767-e6ffed986c88?auto=format&fit=crop&w=1000&q=80,1,Hugo Nested Solid Wood Coffee Tables (Set of 2),FALSE,Hugo Nested Solid Wood Coffee Tables (Set of 2) | EKKAYI Artisanal Furniture,Dual-tier nested circular center tables that slide together or separate for entertaining. Beveled natural oak top with scratch-resistant matte clear coat.,Furniture,,,EKKAYI-1012,,,new,,,,,,,,kg,,,active
hugo-nested-round-coffee-table-set,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1532372320572-cda25653a26d?auto=format&fit=crop&w=1000&q=80,2,Hugo Nested Solid Wood Coffee Tables (Set of 2) - View 2,,,,,,,,,,,,,,,,,,,,,
terracotta-organic-center-table,Terracotta Hand-Molded Organic Center Table,<p>Hand-molded organically shaped earthen coffee table finished in warm terracotta clay glaze. Sealed with hydrophobic nano-coating to protect against coffee spills.</p>,EKKAYI,Furniture,Living Room Tables,"furniture, tables, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1013,45000,shopify,15,deny,manual,24500,34000,TRUE,TRUE,,https://images.unsplash.com/photo-1532372320572-cda25653a26d?auto=format&fit=crop&w=1000&q=80,1,Terracotta Hand-Molded Organic Center Table,FALSE,Terracotta Hand-Molded Organic Center Table | EKKAYI Artisanal Furniture,Hand-molded organically shaped earthen coffee table finished in warm terracotta clay glaze. Sealed with hydrophobic nano-coating to protect against coffee spill,Furniture,,,EKKAYI-1013,,,new,,,,,,,,kg,,,active
terracotta-organic-center-table,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1533090161767-e6ffed986c88?auto=format&fit=crop&w=1000&q=80,2,Terracotta Hand-Molded Organic Center Table - View 2,,,,,,,,,,,,,,,,,,,,,
cantilevered-travertine-console-table,Cantilevered Travertine Foyer Console Table,<p>Minimalist entryway console table showcasing natural travertine veins and matte brushed brass base supports for entrance foyers and corridors.</p>,EKKAYI,Furniture,Living Room Tables,"furniture, tables, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1014,45000,shopify,15,deny,manual,38000,52000,TRUE,TRUE,,https://images.unsplash.com/photo-1533090161767-e6ffed986c88?auto=format&fit=crop&w=1000&q=80,1,Cantilevered Travertine Foyer Console Table,FALSE,Cantilevered Travertine Foyer Console Table | EKKAYI Artisanal Furniture,Minimalist entryway console table showcasing natural travertine veins and matte brushed brass base supports for entrance foyers and corridors.,Furniture,,,EKKAYI-1014,,,new,,,,,,,,kg,,,active
cantilevered-travertine-console-table,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1600585152220-90363fe7e115?auto=format&fit=crop&w=1000&q=80,2,Cantilevered Travertine Foyer Console Table - View 2,,,,,,,,,,,,,,,,,,,,,
sylvan-upholstered-king-bed,Sylvan Upholstered Platform Bed (King Size),<p>An architectural low-profile floating platform bed upholstered in soft textured Sand Bouclé fabric.</p><p>Features a floating cantilevered base with concealed warm under-bed ambient LED channel lighting and an overstuffed ergonomic headrest.</p>,EKKAYI,Furniture,Bedroom Sanctuaries,"furniture, bedroom, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1015,45000,shopify,15,deny,manual,62000,89000,TRUE,TRUE,,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1000&q=80,1,Sylvan Upholstered Platform Bed (King Size),FALSE,Sylvan Upholstered Platform Bed (King Size) | EKKAYI Artisanal Furniture,"An architectural low-profile floating platform bed upholstered in soft textured Sand Bouclé fabric.

Features a floating cantilevered base with concealed warm u",Furniture,,,EKKAYI-1015,,,new,,,,,,,,kg,,,active
sylvan-upholstered-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1616046229478-9901c5536a45?auto=format&fit=crop&w=1000&q=80,2,Sylvan Upholstered Platform Bed (King Size) - View 2,,,,,,,,,,,,,,,,,,,,,
max-solid-wood-hydraulic-storage-bed,Max Solid Wood Hydraulic Storage Bed (Queen Size),"<p>Heavy-duty solid Sheesham wood bed with premium German gas-lift hydraulic pistons for smooth, effortless lifting. Opens to a massive 950-litre dust-free under-bed storage compartment.</p>",EKKAYI,Furniture,Bedroom Sanctuaries,"furniture, bedroom, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1016,45000,shopify,15,deny,manual,45900,65000,TRUE,TRUE,,https://images.unsplash.com/photo-1616046229478-9901c5536a45?auto=format&fit=crop&w=1000&q=80,1,Max Solid Wood Hydraulic Storage Bed (Queen Size),FALSE,Max Solid Wood Hydraulic Storage Bed (Queen Size) | EKKAYI Artisanal Furniture,"Heavy-duty solid Sheesham wood bed with premium German gas-lift hydraulic pistons for smooth, effortless lifting. Opens to a massive 950-litre dust-free under-b",Furniture,,,EKKAYI-1016,,,new,,,,,,,,kg,,,active
max-solid-wood-hydraulic-storage-bed,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1000&q=80,2,Max Solid Wood Hydraulic Storage Bed (Queen Size) - View 2,,,,,,,,,,,,,,,,,,,,,
charred-oak-fluted-nightstands,Charred Oak Fluted Bedside Tables (Set of 2),"<p>Set of 2 minimalist cylindrical bedside cabinets featuring fluted tambour wood detailing, soft-close Blum drawers, and brass edge inlays.</p>",EKKAYI,Furniture,Bedroom Sanctuaries,"furniture, bedroom, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1017,45000,shopify,15,deny,manual,16500,22000,TRUE,TRUE,,https://images.unsplash.com/photo-1532372320572-cda25653a26d?auto=format&fit=crop&w=1000&q=80,1,Charred Oak Fluted Bedside Tables (Set of 2),FALSE,Charred Oak Fluted Bedside Tables (Set of 2) | EKKAYI Artisanal Furniture,"Set of 2 minimalist cylindrical bedside cabinets featuring fluted tambour wood detailing, soft-close Blum drawers, and brass edge inlays.",Furniture,,,EKKAYI-1017,,,new,,,,,,,,kg,,,active
charred-oak-fluted-nightstands,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1000&q=80,2,Charred Oak Fluted Bedside Tables (Set of 2) - View 2,,,,,,,,,,,,,,,,,,,,,
earthy-sand-3-door-wardrobe,Kanso 3-Door Architectural Wardrobe,"<p>A floor-to-ceiling architectural wardrobe combining warm oak framework with acoustic sand linen door panels, full-length dressing mirror, and automated interior sensor lighting.</p>",EKKAYI,Furniture,Bedroom Sanctuaries,"furniture, bedroom, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1018,45000,shopify,15,deny,manual,78000,105000,TRUE,TRUE,,https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&w=1000&q=80,1,Kanso 3-Door Architectural Wardrobe,FALSE,Kanso 3-Door Architectural Wardrobe | EKKAYI Artisanal Furniture,"A floor-to-ceiling architectural wardrobe combining warm oak framework with acoustic sand linen door panels, full-length dressing mirror, and automated interior",Furniture,,,EKKAYI-1018,,,new,,,,,,,,kg,,,active
earthy-sand-3-door-wardrobe,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1000&q=80,2,Kanso 3-Door Architectural Wardrobe - View 2,,,,,,,,,,,,,,,,,,,,,
aurelia-modern-sideboard-credenza,Aurelia Modern Sideboard Credenza,"<p>A multi-purpose dining sideboard and living room entertainment buffet featuring 4 fluted glass doors, adjustable interior shelves, and soft-close German hinges.</p>",EKKAYI,Furniture,Storage & Credenzas,"furniture, storage, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1019,45000,shopify,15,deny,manual,46000,65000,TRUE,TRUE,,https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&w=1000&q=80,1,Aurelia Modern Sideboard Credenza,FALSE,Aurelia Modern Sideboard Credenza | EKKAYI Artisanal Furniture,"A multi-purpose dining sideboard and living room entertainment buffet featuring 4 fluted glass doors, adjustable interior shelves, and soft-close German hinges.",Furniture,,,EKKAYI-1019,,,new,,,,,,,,kg,,,active
aurelia-modern-sideboard-credenza,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1533090161767-e6ffed986c88?auto=format&fit=crop&w=1000&q=80,2,Aurelia Modern Sideboard Credenza - View 2,,,,,,,,,,,,,,,,,,,,,
kanso-open-architectural-bookcase,Kanso Open Architectural Bookcase,"<p>Geometric asymmetrical open-shelving bookcase designed to organize book collections, planters, and decorative sculptures in home offices and studies.</p>",EKKAYI,Furniture,Storage & Credenzas,"furniture, storage, luxury,",TRUE,Title,Default Title,,,,,EKKAYI-1020,45000,shopify,15,deny,manual,38000,52000,TRUE,TRUE,,https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&w=1000&q=80,1,Kanso Open Architectural Bookcase,FALSE,Kanso Open Architectural Bookcase | EKKAYI Artisanal Furniture,"Geometric asymmetrical open-shelving bookcase designed to organize book collections, planters, and decorative sculptures in home offices and studies.",Furniture,,,EKKAYI-1020,,,new,,,,,,,,kg,,,active
kanso-open-architectural-bookcase,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1533090161767-e6ffed986c88?auto=format&fit=crop&w=1000&q=80,2,Kanso Open Architectural Bookcase - View 2,,,,,,,,,,,,,,,,,,,,,
kyoto-solid-oak-accent-armchair,Kyoto Solid Oak & Bouclé Accent Armchair,<p>Sculptural accent armchair featuring sweeping curved solid oak armrests and deep feather-filled bouclé cushions for reading corners and lounges.</p>,EKKAYI,Furniture,Accent Chairs & Benches,"furniture, accent, luxury, 1 Seater Armchair",TRUE,Title,Default Title,,,,,EKKAYI-1021,45000,shopify,15,deny,manual,22900,32000,TRUE,TRUE,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?auto=format&fit=crop&w=1000&q=80,1,Kyoto Solid Oak & Bouclé Accent Armchair,FALSE,Kyoto Solid Oak & Bouclé Accent Armchair | EKKAYI Artisanal Furniture,Sculptural accent armchair featuring sweeping curved solid oak armrests and deep feather-filled bouclé cushions for reading corners and lounges.,Furniture,,,EKKAYI-1021,,,new,,,,,,,,kg,,,active
kyoto-solid-oak-accent-armchair,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=1000&q=80,2,Kyoto Solid Oak & Bouclé Accent Armchair - View 2,,,,,,,,,,,,,,,,,,,,,
aston-wingback-velvet-lounge-chair,Aston Wingback Velvet Lounge Chair with Ottoman,<p>A classic high-back wing chair upholstered in luxurious Deep Forest Green velvet with matching padded footstool ottoman for reading sanctuaries.</p>,EKKAYI,Furniture,Accent Chairs & Benches,"furniture, accent, luxury, 1 Seater + Footrest",TRUE,Title,Default Title,,,,,EKKAYI-1022,45000,shopify,15,deny,manual,28500,39990,TRUE,TRUE,,https://images.unsplash.com/photo-1580481077195-c99981881335?auto=format&fit=crop&w=1000&q=80,1,Aston Wingback Velvet Lounge Chair with Ottoman,FALSE,Aston Wingback Velvet Lounge Chair with Ottoman | EKKAYI Artisanal Furniture,A classic high-back wing chair upholstered in luxurious Deep Forest Green velvet with matching padded footstool ottoman for reading sanctuaries.,Furniture,,,EKKAYI-1022,,,new,,,,,,,,kg,,,active
aston-wingback-velvet-lounge-chair,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?auto=format&fit=crop&w=1000&q=80,2,Aston Wingback Velvet Lounge Chair with Ottoman - View 2,,,,,,,,,,,,,,,,,,,,,
